Path_Name,Distance_m,Start_Elevation_m,End_Elevation_m,Elevation_Diff_m,Total_Ascent_m,Total_Descent_m,Gradient_Percent,Max_Slope_Percent,Base_Speed_mps,Adj_Speed_mps,Travel_Time_s,Travel_Time_min,Travel_Time_with_Slope_s,Travel_Time_with_Slope_min,Road_Type,Condition
Bulad to Poblacion 3,7877.38,142.88,87.02,-55.86,310.25,366.11,-0.71,30.34,8.33,4.11,5673.96,94.56,11512.2,191.88,Concrete,Very Good
Bulad to Poblacion 4,8059.54,148.84,87.04,-61.8,228.19,289.98,-0.77,30.52,8.33,4.1,5805.18,96.78,11791.92,196.56,Concrete,Very Good
Ligtos to Poblacion 1,8291.99,134.42,87.29,-47.14,106.23,153.37,-0.57,22.37,8.33,5.39,5972.64,99.54,9228.9,153.84,Concrete,Very Good
Ligtos to Poblacion 2,8276.06,134.5,87.29,-47.21,117.71,164.92,-0.57,32.0,8.33,5.41,5961.18,99.36,9183.18,153.06,Concrete,Very Good
Oluangan to Poblacion 1,8183.84,116.83,87.29,-29.54,89.25,118.79,-0.36,12.84,8.33,4.13,5894.7,98.22,11875.2,197.94,Concrete,Very Good
Oluangan to Poblacion 2,8134.0,116.83,87.29,-29.54,117.91,147.45,-0.36,22.66,8.33,4.13,5858.82,97.62,11803.5,196.74,Concrete,Very Good
Tina-an Norte to Poblacion 1,7137.92,107.89,87.29,-20.6,76.56,97.16,-0.29,12.84,8.33,5.97,5141.34,85.68,7179.24,119.64,Concrete,Very Good
Tina-an Norte to Poblacion 2,7046.62,107.89,87.29,-20.6,102.71,123.31,-0.29,22.76,8.33,6.05,5075.58,84.6,6986.58,116.46,Concrete,Very Good
Agta to Poblacion 1,11932.23,149.74,86.91,-62.83,176.86,239.7,-0.53,21.11,8.33,4.77,8594.64,143.22,15021.12,250.38,Concrete,Very Good
Agta to Poblacion 2,13038.74,149.9,86.95,-62.95,445.41,508.36,-0.48,37.2,8.33,4.12,9391.62,156.54,18967.26,316.14,Concrete,Very Good
Barangbang to Poblacion 1,12211.71,77.97,251.83,173.86,531.53,357.67,1.43,31.89,8.33,4.89,8795.94,146.58,14988.06,249.78,Concrete,Very Good
Barangbang to Poblacion 2,17080.75,77.99,251.83,173.84,589.69,415.86,1.02,44.88,8.33,4.08,12303.06,205.08,25119.36,418.68,Concrete,Very Good
Bacolod to Poblacion 1,20046.32,77.99,541.27,463.27,911.54,448.26,2.32,61.81,8.33,5.94,14439.12,240.66,20259.36,337.68,Concrete,Very Good
Bacolod to Poblacion 2,24820.83,77.97,541.27,463.3,1370.38,907.08,1.88,61.81,8.33,4.57,17878.14,297.96,32603.28,543.36,Concrete,Very Good
Bacolod to Poblacion 3,30346.03,78.08,538.25,460.17,1575.46,1115.29,1.53,64.06,8.33,4.04,21857.88,364.32,45094.32,751.56,Concrete,Very Good
