Path_Name,Distance_m,Start_Elevation_m,End_Elevation_m,Elevation_Diff_m,Total_Ascent_m,Total_Descent_m,Gradient_Percent,Max_Slope_Percent,Sinuosity_Index,Base_Speed_mps,Adj_Speed_mps,Travel_Time_s,Travel_Time_min,Travel_Time_with_Slope_s,Travel_Time_with_Slope_min,Road_Type,Condition
Bayag Sur to Poblacion 1,6327.14,96.35,87.1,-9.25,134.59,143.85,-0.15,14.85,1.57,8.33,5.94,759.56,12.66,1065.41,17.76,,
Cabutongan to Poblacion 1,8008.59,113.66,87.1,-26.56,198.62,225.18,-0.33,30.81,2.37,8.33,4.14,961.42,16.02,1935.7,32.26,,
Jamog Gines to Poblacion 1,5563.11,74.91,87.1,12.19,128.22,116.02,0.22,14.85,1.57,8.33,5.92,667.84,11.13,939.06,15.65,,
Isian Norte to Poblacion 1,4291.6,82.63,87.1,4.47,90.4,85.93,0.1,14.85,1.53,8.33,6.13,515.2,8.59,700.37,11.67,,
Mina to Poblacion 1,8199.72,174.54,86.95,-87.59,152.52,240.11,-1.07,34.19,1.66,8.33,5.46,984.36,16.41,1501.18,25.02,,
Panginman to Poblacion 1,2299.17,100.03,87.1,-12.93,42.63,55.56,-0.56,11.89,2.01,8.33,4.12,276.01,4.6,558.31,9.31,,
Tina-an Sur to Poblacion 1,3014.77,104.29,87.1,-17.19,55.23,72.41,-0.57,14.85,1.91,8.33,4.5,361.92,6.03,669.57,11.16,,
Ayabang to Poblacion 2,16721.93,287.96,86.91,-201.06,349.72,550.78,-1.21,32.59,1.86,8.33,4.63,2007.43,33.46,3612.86,60.21,,
Ayabang to Poblacion 1,15324.91,77.89,287.61,209.72,507.57,297.86,1.37,44.46,1.63,8.33,5.55,1839.73,30.66,2763.5,46.06,,
Ayabang to Poblacion 3,16478.32,287.59,86.98,-200.61,316.06,516.67,-1.22,44.44,1.83,8.33,4.74,1978.19,32.97,3479.19,57.99,,
Banagan to Poblacion 1,20580.26,305.5,86.91,-218.6,583.88,802.47,-1.07,33.79,1.98,8.33,4.17,2470.62,41.18,4939.91,82.33,,
Banagan to Poblacion 2,16696.38,77.98,305.61,227.63,704.87,477.24,1.37,33.84,1.54,8.33,5.9,2004.37,33.41,2831.92,47.2,,
Banagan to Poblacion 3,19647.25,77.98,305.61,227.63,887.99,660.36,1.17,34.41,1.82,8.33,4.82,2358.61,39.31,4079.17,67.99,,
