Path_Name,Distance_m,Start_Elevation_m,End_Elevation_m,Elevation_Diff_m,Total_Ascent_m,Total_Descent_m,Gradient_Percent,Max_Slope_Percent,Base_Speed_mps,Adj_Speed_mps,Travel_Time_s,Travel_Time_min,Travel_Time_with_Slope_s,Travel_Time_with_Slope_min,Road_Type,Condition
Bulad to Poblacion 4,8059.54,148.84,87.04,-61.8,228.19,289.98,-0.77,30.52,8.33,8.2,967.53,16.13,982.66,16.38,Concrete,Poor
Ligtos to Poblacion 1,8291.99,134.42,87.29,-47.14,106.23,153.37,-0.57,22.37,8.33,8.24,995.44,16.59,1006.9,16.78,Concrete,Very Good
Ligtos to Poblacion 2,8276.06,134.5,87.29,-47.21,117.71,164.92,-0.57,32.0,8.33,8.23,993.53,16.56,1005.01,16.75,Concrete,Very Good
Oluangan to Poblacion 1,8183.84,116.83,87.29,-29.54,89.25,118.79,-0.36,12.84,8.33,8.27,982.45,16.37,989.6,16.49,Concrete,Very Good
Tina-an Norte to Poblacion1,7137.92,107.89,87.29,-20.6,76.56,97.16,-0.29,12.84,8.33,8.28,856.89,14.28,861.87,14.36,Concrete,Very Good
Agta to Poblacion 1,11932.23,149.74,86.91,-62.83,176.86,239.7,-0.53,21.11,8.33,8.24,1432.44,23.87,1447.71,24.13,Concrete,Very Good
Agta to Poblacion 2,13038.74,149.9,86.95,-62.95,445.41,508.36,-0.48,37.2,8.33,8.25,1565.27,26.09,1580.6,26.34,Concrete,Very Good
Barangbang to Poblacion 2,17694.23,86.93,251.83,164.9,600.68,435.78,0.94,44.88,8.33,8.17,2124.16,35.4,2164.65,36.08,"Gravel, Concrete","Fairly Good, Very Good"
Barangbang to Poblacion 1,12824.68,86.93,251.83,164.9,542.49,377.59,1.29,31.89,8.33,8.11,1539.58,25.66,1580.39,26.34,"Gravel, Concrete","Fairly Good, Very Good"
Bacolod to Poblacion 1,20659.8,86.93,541.27,454.34,922.52,468.18,2.21,61.81,8.33,7.96,2480.17,41.34,2594.91,43.25,Concrete,Very Good
Bacolod to Poblacion 2,25433.8,86.93,541.27,454.34,1381.34,927.01,1.8,61.81,8.33,8.03,3053.28,50.89,3167.22,52.79,Concrete,Very Good
Bacolod to Poblacion 3,30960.95,86.93,538.25,451.32,1586.53,1135.21,1.47,64.06,8.33,8.09,3716.8,61.95,3829.32,63.82,Concrete,Very Good
Bobon to Poblacion 1,25240.89,86.93,530.94,444.01,1196.19,752.18,1.77,63.02,8.33,8.03,3030.12,50.5,3141.37,52.36,Concrete,Very Good
Bobon to Poblacion 2,30042.47,86.93,530.94,444.01,1672.8,1228.79,1.49,63.02,8.33,8.08,3606.54,60.11,3717.29,61.95,Concrete,Very Good
Bobon to Poblacion 3,26428.98,86.93,531.69,444.76,1313.79,869.03,1.69,61.81,8.33,8.05,3172.75,52.88,3284.06,54.73,Concrete,Very Good
Ingay to Poblacion 1,24766.54,86.93,417.29,330.36,1192.57,862.22,1.34,94.41,8.33,8.11,2973.17,49.55,3055.28,50.92,"Concrete, Gravel","Fairly Good, Very Good"
Ingay to Poblacion 1,24766.54,86.93,417.29,330.36,1192.57,862.22,1.34,94.41,8.33,8.11,2973.17,49.55,3055.28,50.92,Concrete,Very Good
Ingay to Poblacion 2,29565.09,86.93,417.29,330.36,1632.27,1301.91,1.13,94.41,8.33,8.14,3549.23,59.15,3631.07,60.52,"Concrete, Gravel","Fairly Good, Very Good"
Ingay to Poblacion 2,29565.09,86.93,417.29,330.36,1632.27,1301.91,1.13,94.41,8.33,8.14,3549.23,59.15,3631.07,60.52,Concrete,Very Good
Barasan to Poblacion 1,3413.54,106.25,87.32,-18.93,74.39,93.32,-0.56,19.5,8.33,8.24,409.79,6.83,414.39,6.91,Concrete,Very Good
Samlague to Poblacion 1,8248.28,234.82,86.93,-147.89,189.14,337.03,-1.8,27.76,8.33,8.03,990.19,16.5,1027.15,17.12,Concrete,Very Good
Samlague to Poblacion 2,8201.56,234.72,86.93,-147.79,203.0,350.8,-1.81,33.31,8.33,8.03,984.58,16.41,1021.54,17.03,Concrete,Very Good
Samlague to Poblacion 3,8273.15,234.78,86.93,-147.85,215.76,363.6,-1.79,40.33,8.33,8.03,993.18,16.55,1030.15,17.17,Concrete,Very Good
Binolbog to Poblacion 1,9361.8,86.93,277.27,190.34,367.04,176.7,2.04,37.71,8.33,7.99,1123.87,18.73,1171.66,19.53,Concrete,Very Good
Binolbog to Poblacion 2,10409.9,86.93,277.27,190.34,404.32,213.98,1.83,31.61,8.33,8.02,1249.69,20.83,1297.26,21.62,Concrete,Very Good
Lonoc to Poblacion 1,8323.4,86.93,239.3,152.37,290.28,137.91,1.83,31.34,8.33,8.02,999.21,16.65,1037.27,17.29,Concrete,Very Good
Lonoc to Poblacion 2,11207.02,86.93,239.28,152.35,425.55,273.19,1.36,35.34,8.33,8.1,1345.38,22.42,1383.12,23.05,Concrete,Very Good
Carolina to Poblacion 1,7676.14,86.93,187.95,101.02,315.34,214.32,1.32,30.65,8.33,8.11,921.51,15.36,946.51,15.78,Concrete,Very Good
Carolina to Poblacion 2,7846.22,86.93,187.95,101.02,329.18,228.16,1.29,30.65,8.33,8.11,941.92,15.7,966.92,16.12,Concrete,Very Good
Paga to Poblacion 1,12437.91,331.51,87.12,-244.39,236.08,480.47,-1.97,29.76,8.33,8.0,1493.15,24.89,1554.39,25.91,Concrete,Very Good
Paga  to Poblacion 2,13859.82,331.51,87.05,-244.46,407.39,651.85,-1.77,38.54,8.33,8.03,1663.84,27.73,1724.98,28.75,Concrete,Very Good
Paga to Poblacion 3,17122.28,87.02,331.45,244.44,740.5,496.06,1.43,32.96,8.33,8.09,2055.5,34.26,2116.17,35.27,Concrete,Very Good
Ambulong to Poblacion 1,7216.42,107.87,86.95,-20.92,140.46,161.38,-0.29,13.67,8.33,8.28,866.32,14.44,871.38,14.52,Concrete,Very Good
Avanzada to Poblacion 1,7089.52,151.05,87.1,-63.95,139.27,203.22,-0.9,26.8,8.33,8.18,851.08,14.18,866.75,14.45,"Earth, Concrete",Fairly Good
Bayag Norte to Poblacion 1,5796.68,84.07,87.1,3.03,130.61,127.58,0.05,14.85,8.33,8.32,695.88,11.6,696.61,11.61,Concrete,Very Good
Bayag Sur to Poblacion 1,6327.14,96.35,87.1,-9.25,134.59,143.85,-0.15,14.85,8.33,8.31,759.56,12.66,761.79,12.7,Concrete,Very Good
Cabutongan to Poblacion 1,8008.59,113.66,87.1,-26.56,198.62,225.18,-0.33,30.81,8.33,8.27,961.42,16.02,967.85,16.13,"Concrete, Earth","Very Good, Poor"
Jamog Gines to Poblacion 1,5563.11,74.91,87.1,12.19,128.22,116.02,0.22,14.85,8.33,8.29,667.84,11.13,670.78,11.18,Concrete,Very Good
Isian Norte to Poblacion 1,4291.6,82.63,87.1,4.47,90.4,85.93,0.1,14.85,8.33,8.31,515.2,8.59,516.28,8.6,Concrete,Very Good
Mina to Poblacion 1,8199.72,174.54,86.95,-87.59,152.52,240.11,-1.07,34.19,8.33,8.15,984.36,16.41,1005.89,16.76,Concrete,Very Good
Panginman to Poblacion 1,2299.17,100.03,87.1,-12.93,42.63,55.56,-0.56,11.89,8.33,8.24,276.01,4.6,279.16,4.65,Concrete,Very Good
Tina-an Sur to Poblacion 1,3014.77,104.29,87.1,-17.19,55.23,72.41,-0.57,14.85,8.33,8.23,361.92,6.03,366.1,6.1,Concrete,Very Good
